1900-01-01,-176.59185630265426
1901-01-01,-176.91924895460133
1902-01-01,-172.93583273581234
1903-01-01,-171.88686266190888
1904-01-01,-165.97618110293476
1905-01-01,-167.36458634727887
1906-01-01,-172.1412705328596
1907-01-01,-173.89161561058367
1908-01-01,-180.54240651739676
1909-01-01,-178.85840955576845
1910-01-01,-173.6528253063629
1911-01-01,-164.5745053257563
1912-01-01,-152.4366405628046
1913-01-01,-145.8827705749456
1914-01-01,-145.33286128137465
1915-01-01,-149.81042727162793
1916-01-01,-156.82625142233184
1917-01-01,-157.9916078355
1918-01-01,-154.61821335634147
1919-01-01,-146.4151712032886
1920-01-01,-142.60442764406181
1921-01-01,-138.84678988585833
1922-01-01,-142.95962226510767
1923-01-01,-149.56315829340667
1924-01-01,-153.16412098159617
1925-01-01,-152.79127516835345
1926-01-01,-152.94650831965444
1927-01-01,-150.47312468652453
1928-01-01,-152.43794635239254
1929-01-01,-149.04786032516324
1930-01-01,-145.6465797178952
1931-01-01,-142.49724496912336
1932-01-01,-138.30206909035434
1933-01-01,-140.37104702913197
1934-01-01,-144.1128556202666
1935-01-01,-143.36962648164504
1936-01-01,-141.78213445642663
1937-01-01,-134.21406094030516
1938-01-01,-128.64832703252029
1939-01-01,-126.75704560933804
1940-01-01,-122.68905528178811
1941-01-01,-122.37379337280285
1942-01-01,-116.36552482946918
1943-01-01,-114.73408626204413
1944-01-01,-116.2321673039204
1945-01-01,-113.03607838001437
1946-01-01,-112.47933308209016
1947-01-01,-107.08665155464591
1948-01-01,-104.05272548938915
1949-01-01,-94.94971336253208
1950-01-01,-94.50387751267813
1951-01-01,-86.11708511255254
1952-01-01,-83.11786783564108
1953-01-01,-84.01467804362035
1954-01-01,-85.29534811005574
1955-01-01,-89.93791016536719
1956-01-01,-92.10114490759865
1957-01-01,-88.72412867423827
1958-01-01,-86.1686305678554
1959-01-01,-81.18135383393843
1960-01-01,-77.70247535485849
1961-01-01,-78.09189845326634
1962-01-01,-77.5215294460386
1963-01-01,-80.40143389308349
1964-01-01,-79.13127723673666
1965-01-01,-79.11757076516085
1966-01-01,-82.12304019692203
1967-01-01,-84.2228896440919
1968-01-01,-84.86973440615928
1969-01-01,-83.1006798786383
1970-01-01,-82.08249596993332
1971-01-01,-79.3302872341448
1972-01-01,-77.55314007354256
1973-01-01,-77.96405467147822
1974-01-01,-74.78805485294447
1975-01-01,-75.37286360040225
1976-01-01,-74.6308890125908
1977-01-01,-75.97986895657615
1978-01-01,-75.02427769459622
1979-01-01,-71.5089866915855
1980-01-01,-65.0311851511303
1981-01-01,-61.06929109736207
1982-01-01,-58.284449593729036
1983-01-01,-56.984797551280415
1984-01-01,-59.55196690530324
1985-01-01,-60.60248681333391
1986-01-01,-60.007957166681685
1987-01-01,-59.34358659978783
1988-01-01,-58.109448929339585
1989-01-01,-56.86423216760134
1990-01-01,-54.836479902036416
1991-01-01,-57.63888186695641
1992-01-01,-59.31457138810114
1993-01-01,-56.61362786540196
1994-01-01,-55.18307626743777
1995-01-01,-51.66161586221206
1996-01-01,-43.03408393901985
1997-01-01,-39.348661507419386
1998-01-01,-35.8287239799828
1999-01-01,-31.979615006805695
2000-01-01,-29.58523799481036
2001-01-01,-26.171844453974977
2002-01-01,-21.85750715928472
2003-01-01,-20.976290985272854
2004-01-01,-20.74898037641153
2005-01-01,-21.512815438191332
2006-01-01,-17.393133296330234
2007-01-01,-12.982201845731177
2008-01-01,-10.315022160853008
2009-01-01,-6.99232893075799
2010-01-01,-4.7286939237643555
2011-01-01,-0.7362026233078431
2012-01-01,6.420361741069968
2013-01-01,8.145432750757912
2014-01-01,13.016032906711398
2015-01-01,19.55535763693684
2016-01-01,24.531914033333358
2017-01-01,29.837090190279987
2018-01-01,30.9728567780025
