,0
1880-01-01,-0.8298287617239014
1881-01-01,-0.7248718585543595
1882-01-01,-0.7543709581459407
1883-01-01,-0.8338595482770884
1884-01-01,-0.9670393749421499
1885-01-01,-1.0187670688794326
1886-01-01,-0.9864112701970762
1887-01-01,-1.0462060641792883
1888-01-01,-0.8161748914299117
1889-01-01,-0.7365993890010011
1890-01-01,-1.0328848415975398
1891-01-01,-0.8743439728347432
1892-01-01,-0.9483052703803877
1893-01-01,-0.9891674842107993
1894-01-01,-0.9759410618081775
1895-01-01,-0.8817721240737542
1896-01-01,-0.7544957338433731
1897-01-01,-0.7434219445572238
1898-01-01,-0.9366506034872657
1899-01-01,-0.8171496586076623
1900-01-01,-0.6956975175675044
1901-01-01,-0.7790871422969933
1902-01-01,-0.9442799241351331
1903-01-01,-1.0452410947715325
1904-01-01,-1.1629622916219067
1905-01-01,-0.905259526104008
1906-01-01,-0.8708993223634772
1907-01-01,-1.0689880843533357
1908-01-01,-1.0970330480144945
1909-01-01,-1.168520369250525
1910-01-01,-1.112650411935757
1911-01-01,-1.1203639983452416
1912-01-01,-1.0298171438959696
1913-01-01,-1.0091491753398907
1914-01-01,-0.7877707093666202
1915-01-01,-0.7650636286584541
1916-01-01,-1.0309303045260705
1917-01-01,-1.1520818396353982
1918-01-01,-0.9610988427104977
1919-01-01,-0.9268304326578872
1920-01-01,-0.9211130564211473
1921-01-01,-0.8188265907051978
1922-01-01,-0.9293102474708218
1923-01-01,-0.9037900884590231
1924-01-01,-0.9034576855675986
1925-01-01,-0.8465968863545698
1926-01-01,-0.7039372776058791
1927-01-01,-0.8387043533214577
1928-01-01,-0.8180300846474947
1929-01-01,-1.0023838560889786
1930-01-01,-0.7621077432273066
1931-01-01,-0.6681145923860589
1932-01-01,-0.7528869847090323
1933-01-01,-0.9012746526396754
1934-01-01,-0.7183507165762215
1935-01-01,-0.8157771444654559
1936-01-01,-0.7423847488595273
1937-01-01,-0.6036717165227125
1938-01-01,-0.5854120251639872
1939-01-01,-0.6074300604988091
1940-01-01,-0.434032858510825
1941-01-01,-0.36980740437329446
1942-01-01,-0.5112131730436883
1943-01-01,-0.48499101230764263
1944-01-01,-0.3556429758793293
1945-01-01,-0.4847703409405077
1946-01-01,-0.6649739647178674
1947-01-01,-0.6078464118109735
1948-01-01,-0.7021528147195317
1949-01-01,-0.7113016085678715
1950-01-01,-0.7858666598202642
1951-01-01,-0.6598164217564527
1952-01-01,-0.5704229023433007
1953-01-01,-0.4871700555041883
1954-01-01,-0.7348299015370267
1955-01-01,-0.7407311184556566
1956-01-01,-0.793363624261792
1957-01-01,-0.5423852406580035
1958-01-01,-0.5356517771690031
1959-01-01,-0.5680328150944983
1960-01-01,-0.6236663715412285
1961-01-01,-0.5366835070591
1962-01-01,-0.5650870485607192
1963-01-01,-0.5376215214493659
1964-01-01,-0.7958866388442418
1965-01-01,-0.7074340666499322
1966-01-01,-0.655986686191848
1967-01-01,-0.6140320429825569
1968-01-01,-0.6757098216974087
1969-01-01,-0.5456531224739247
1970-01-01,-0.5727825346007033
1971-01-01,-0.6822872017324298
1972-01-01,-0.5922136954877032
1973-01-01,-0.43646015889304873
1974-01-01,-0.6611789554420845
1975-01-01,-0.6177885785698489
1976-01-01,-0.7068176990807334
1977-01-01,-0.4170802466509427
1978-01-01,-0.5305291912763862
1979-01-01,-0.43524658794919047
1980-01-01,-0.33510816974346486
1981-01-01,-0.26840082372700363
1982-01-01,-0.4674992229689489
1983-01-01,-0.28421865038722377
1984-01-01,-0.4454764929185479
1985-01-01,-0.4834001516937463
1986-01-01,-0.416187151356856
1987-01-01,-0.2813553295173002
1988-01-01,-0.21057163925243347
1989-01-01,-0.3255704526117153
1990-01-01,-0.15094876918578073
1991-01-01,-0.18509607506127657
1992-01-01,-0.38131766944184253
1993-01-01,-0.3720338938242169
1994-01-01,-0.28029291392499367
1995-01-01,-0.1516846779092034
1996-01-01,-0.2524406460805781
1997-01-01,-0.13330754834244204
1998-01-01,0.012854956411653212
1999-01-01,-0.22114496106899242
2000-01-01,-0.19901510860043778
2001-01-01,-0.058634222235888045
2002-01-01,0.038871211716016464
2003-01-01,0.03010462106201343
2004-01-01,-0.056792405626655384
2005-01-01,0.0872396641588723
2006-01-01,0.04628814033050858
2007-01-01,0.07671376469399263
2008-01-01,-0.051646215926375465
2009-01-01,0.0694962840531143
2010-01-01,0.1352147715850936
2011-01-01,0.01568614977504668
2012-01-01,0.048630858549370236
2013-01-01,0.08711850200272175
2014-01-01,0.14967976260263588
2015-01-01,0.2967360167328492
2016-01-01,0.4300842411314967
2017-01-01,0.32857475888715426
2018-01-01,0.2553636028764656
2019-01-01,0.3856978006596801
2020-01-01,0.4199662484619668
2021-01-01,0.26076152275688985
2022-01-01,0.3077324812569319
2023-01-01,0.5816720661440492
