,dgmst
1880-02-01,0.08302748480441202
1880-03-01,0.06037201268676551
1880-04-01,-0.002810514543457543
1880-05-01,-0.06624596476179401
1880-06-01,0.05088501438041604
1880-07-01,0.023947088540267003
1880-08-01,-0.09661813674805853
1880-09-01,-0.07103799225673502
1880-10-01,0.03433103410477201
1880-11-01,0.03980705055747452
1880-12-01,0.0018205512901505183
1881-01-01,0.07295091743000298
1881-02-01,0.1374032631120775
1881-03-01,0.10133266798124252
1881-04-01,-0.11568904951703901
1881-05-01,-0.0356779654518275
1881-06-01,0.08305424214541751
1881-07-01,-0.1064950791810585
1881-08-01,-0.1454194175904015
1881-09-01,-0.05663915438643202
1881-10-01,0.1046934334658115
1881-11-01,0.22990139255629802
1881-12-01,0.10716257297801948
1882-01-01,-0.1190553326462985
1882-02-01,-0.15136051125665903
1882-03-01,-0.03195669389790051
1882-04-01,-0.011683505885668466
1882-05-01,-0.02284668581855248
1882-06-01,0.06870909195063701
1882-07-01,0.001175081717061488
1882-08-01,-0.12355292838858001
1882-09-01,-0.0496484356367875
1882-10-01,-0.07230511738507156
1882-11-01,-0.052488697745361024
1882-12-01,-0.007730323276814999
1883-01-01,0.0634684891733705
1883-02-01,0.12531144284128354
1883-03-01,0.0322893635686885
1883-04-01,0.09642888577484848
1883-05-01,0.05203812771610855
1883-06-01,-0.06112418889833848
1883-07-01,-0.09112667561065352
1883-08-01,-0.002089268041095993
1883-09-01,-0.04428461229657449
1883-10-01,0.002972787914726993
1883-11-01,0.082197234295105
1883-12-01,0.006161337714575499
1884-01-01,-0.17260803659957602
1884-02-01,-0.16307136977930503
1884-03-01,0.07972375828514999
1884-04-01,0.047514360728835525
1884-05-01,-0.0039879332903284825
1884-06-01,0.019646870351893497
1884-07-01,0.025844537224710973
1884-08-01,-0.005002727550797004
1884-09-01,-0.06722545530503243
1884-10-01,-0.020756162076281948
1884-11-01,-0.12911880336888504
1884-12-01,-0.018059026696805036
1885-01-01,0.14970038978951494
1885-02-01,-0.04245724405801499
1885-03-01,-0.04424049165904498
1885-04-01,0.01082164491111004
1885-05-01,0.05730995120848853
1885-06-01,0.06310030019387897
1885-07-01,0.02901463211155847
1885-08-01,0.02431790356931396
1885-09-01,0.00033779842074349586
1885-10-01,0.09269405649222351
1885-11-01,-0.10497286733088046
1885-12-01,-0.2540212453813265
1886-01-01,-0.02695892457085003
1886-02-01,0.1547893449040355
1886-03-01,0.17355252905929802
1886-04-01,-0.012640808457997532
1886-05-01,0.030486316964136007
1886-06-01,-0.00017799192844947243
1886-07-01,-0.0384445252901755
1886-08-01,0.002970292545183495
1886-09-01,-0.05151924553630299
1886-10-01,0.016717596484420505
1886-11-01,-0.25003750267715547
1886-12-01,-0.2005589183514675
1887-01-01,0.17596809203682995
1887-02-01,0.15442524269286495
1887-03-01,0.09804444728373651
1887-04-01,0.08324000988525004
1887-05-01,0.01478924017782196
1887-06-01,-0.08757924041496501
1887-07-01,0.006541160739539031
1887-08-01,-0.023219028142870024
1887-09-01,-0.037342609414259986
1887-10-01,0.032099944482930076
1887-11-01,-0.023407397866947566
1887-12-01,-0.03415162328810506
1888-01-01,-0.09367495394135994
1888-02-01,0.11363518581409199
1888-03-01,0.184079089028387
1888-04-01,0.04553200471284552
1888-05-01,0.06229494141263098
1888-06-01,-0.009965890175642478
1888-07-01,-0.016464188433488458
1888-08-01,0.08009097927765296
1888-09-01,0.06508947066047649
1888-10-01,-0.023702031048050465
1888-11-01,-0.056989413963693
1888-12-01,0.09908746665011847
1889-01-01,0.04301868346078097
1889-02-01,-0.008273347941716497
1889-03-01,0.03372829169270203
1889-04-01,-0.0903814546895125
1889-05-01,-0.04999903390738203
1889-06-01,-0.07921577136199748
1889-07-01,-0.103063955091309
1889-08-01,-0.05808396966989604
1889-09-01,-0.09008630901870496
1889-10-01,-0.01983668730886745
1889-11-01,-0.041980594722080045
1889-12-01,-0.09863869767347105
1890-01-01,-0.019667275801519946
1890-02-01,0.10870148371186455
1890-03-01,0.07128900329601995
1890-04-01,0.05654056471025648
1890-05-01,0.056716924626460996
1890-06-01,-0.106664600226621
1890-07-01,-0.05270732521022098
1890-08-01,0.06722644518493348
1890-09-01,-0.07961935394048503
1890-10-01,-0.029650045025837513
1890-11-01,0.08696632714507002
1890-12-01,-0.11783242995375093
1891-01-01,0.05309557842847801
1891-02-01,0.15077217618158595
1891-03-01,0.073037626851366
1891-04-01,0.06222627233974498
1891-05-01,-0.017589568728460014
1891-06-01,0.0006146123802565073
1891-07-01,0.013689966555271493
1891-08-01,-0.05041070424576899
1891-09-01,-0.12953206462479044
1891-10-01,0.1233660664748425
1891-11-01,0.02629051982192049
1891-12-01,-0.077264415080468
1892-01-01,-0.09956025886976555
1892-02-01,-0.10649511906886805
1892-03-01,0.15836579000334455
1892-04-01,0.09604962508655857
1892-05-01,-0.061917066395963005
1892-06-01,-0.05294211571185303
1892-07-01,0.08929369510379648
1892-08-01,0.05874061433815703
1892-09-01,-0.18873820035440803
1892-10-01,-0.13381979903102248
1892-11-01,-0.21164204337151993
1892-12-01,-0.13002270502095503
1893-01-01,0.31517892730754893
1893-02-01,0.200413263048406
1893-03-01,-5.840291807096554e-05
1893-04-01,0.04393030433817652
1893-05-01,0.11164904248268898
1893-06-01,-0.024560674989638542
1893-07-01,-0.0527439619201715
1893-08-01,0.02427207468550452
1893-09-01,-0.010344657844116978
1893-10-01,-0.08015516701190345
1893-11-01,-0.1969673043257285
1893-12-01,-0.004540889840500051
1894-01-01,0.14781893066540902
1894-02-01,-0.053759282784744955
